Crimes Against Persons Offenses,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Offense Category,,,,,,,,,
"by State, 2014",,,,,,,,,
State,"Number of 
Participating
Agencies","Population
Covered",Total Offenses,Offense Category,,,,,
,,,,"Assault
Offenses","Homicide
Offenses","Human
Trafficking
Offenses","Kidnapping/
Abduction",Sex Offenses,"Sex Offenses,
Nonforcible"
Total,6520,93330000,1261784,1165909,3854,57,15552,70928,5484
Alabama,1,84843,742,713,1,0,4,24,0
Arizona,5,428215,3998,3610,12,0,86,259,31
Arkansas,270,2661818,54845,52125,174,0,488,1970,88
Colorado,233,5275081,50964,43579,176,13,1621,5280,295
Connecticut,83,2702918,23135,21545,45,0,309,1083,153
Delaware,60,935614,18891,17744,57,0,275,763,52
District of Columbia,1,0,928,916,0,0,10,2,0
Idaho,108,1634011,17005,15197,34,0,160,1495,119
Illinois,1,149586,5627,5308,19,0,62,238,0
Indiana,92,0,1129,705,22,0,27,372,3
Iowa,221,2974604,28063,25886,66,0,167,1785,159
Kansas,356,2241244,38875,35808,60,0,914,2002,91
Kentucky,450,4413732,34258,30183,169,0,631,3102,173
Louisiana,32,649955,11530,10971,33,0,91,361,74
Maine,22,333772,4101,3747,9,0,14,286,45
Massachusetts,302,5831560,65448,61585,76,0,516,2535,736
Michigan,602,9743907,148237,136481,589,1,770,10311,85
Mississippi,4,144940,3681,3578,6,0,17,68,12
Missouri,14,759060,16053,15096,91,0,77,752,37
Montana,97,992702,10679,9292,29,1,193,1097,67
Nebraska,71,726082,7169,6346,9,0,91,669,54
New Hampshire,158,1238190,16724,14908,12,0,264,1158,382
North Dakota,107,738176,8611,7741,19,0,75,633,143
Ohio,530,8418036,125561,116741,377,0,1871,6293,279
Oklahoma,273,1627493,16826,15577,37,0,161,959,92
Oregon,110,1526458,12893,11762,30,0,121,867,113
Pennsylvania,27,173796,998,887,1,0,17,83,10
Rhode Island,47,1054130,10755,10005,27,0,47,636,40
South Carolina,437,4813088,97201,91828,323,0,1080,3735,235
South Dakota,116,791744,9415,8433,21,0,128,698,135
Tennessee,468,6520118,149369,142337,419,39,1211,4843,520
Texas,56,3219473,28827,26503,87,1,486,1646,104
Utah,75,2320856,30622,26434,74,0,695,3163,256
Vermont,91,626306,2936,2652,12,0,69,176,27
Virginia,416,8325670,104793,97844,366,0,1445,4949,189
Washington,218,5284057,61643,56146,170,2,842,4173,310
West Virginia,269,1648198,15633,14680,64,0,100,724,65
Wisconsin,97,2320567,23619,21016,138,0,417,1738,310
