Crimes Against Persons Offenses,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Offense Category,,,,,,,,,
"by State, 2015",,,,,,,,,
State,"Number of 
Participating
Agencies","Population
Covered","Total 
Offenses",Offense Category,,,,,
,,,,"Assault
Offenses","Homicide
Offenses","Human
Trafficking
Offenses","Kidnapping/
Abduction","Sex 
Offenses","Sex Offenses,
Nonforcible"
Total,6648,96087615,1312421,1209643,4507,92,16930,75890,5359
Alabama,1,85163,830,792,3,0,3,32,0
Arizona,4,441235,3788,3366,15,0,91,270,46
Arkansas,280,2755248,57034,54101,174,5,550,2128,76
Colorado,231,5441669,54731,46895,197,17,1826,5534,262
Connecticut,85,2773016,21560,20018,56,0,225,1089,172
Delaware,60,945934,19515,18319,69,0,285,791,51
District of Columbia1,1,,1084,1077,0,0,5,2,0
Idaho,108,1654475,17064,15221,38,0,140,1541,124
Illinois,1,148178,6116,5786,20,0,66,244,0
Indiana2,92,,1328,879,17,0,49,381,2
Iowa,237,3105094,29245,26974,80,0,187,1864,140
Kansas,339,2133081,39029,35884,84,0,844,2131,86
Kentucky,483,4452859,44430,39729,238,0,930,3344,189
Louisiana,35,746167,13526,12829,30,0,121,480,66
Maine,22,333419,3959,3657,6,0,7,232,57
Massachusetts,295,5783813,63867,60039,90,2,483,2555,698
Michigan,617,9838291,147792,135397,634,3,769,10882,107
Mississippi,3,129513,4036,3892,12,0,28,95,9
Missouri,14,768291,17368,16422,117,0,84,692,53
Montana,103,1025146,11573,10081,38,0,202,1178,74
Nebraska,82,777196,7666,6859,9,0,80,683,35
New Hampshire,168,1267715,16161,14382,18,0,244,1181,336
North Dakota,108,756927,8650,7794,25,0,83,614,134
Ohio,537,8788652,127503,118424,411,0,1872,6556,240
Oklahoma,280,1666338,18848,17449,57,0,178,1057,107
Oregon,140,1671416,16477,14803,64,0,179,1274,157
Pennsylvania,31,212641,1179,1037,1,0,15,114,12
Rhode Island,47,1055254,10954,10087,28,0,61,750,28
South Carolina,442,4826241,98000,92396,427,14,1161,3805,197
South Dakota,116,797431,10397,9327,32,0,132,751,155
Tennessee,467,6601280,148714,141136,455,37,1503,5079,504
Texas,80,3661036,44884,41254,142,9,669,2672,138
Utah,73,2341627,31839,27400,58,0,814,3352,215
Vermont,90,626042,3071,2773,10,0,62,206,20
Virginia,414,8380278,104564,97437,414,0,1484,5088,141
Washington,225,6150785,64803,59150,175,1,855,4327,295
West Virginia,229,1494503,16177,14901,60,0,167,968,81
Wisconsin,108,2451661,24659,21676,203,4,476,1948,352
1Data was reported by the Metro Transit Police. This agency has no population associated with it.,,,,,,,,,
2Data was reported by the State Police agencies to which no population was attributed.,,,,,,,,,
